,openTime,open,high,low,close,volume,closeTime,quoteAssetVolume,trades,takerBaseAssetVolume,takerQuoteAssetVolume,ignored
279404,1661760900000,1450.38000000,1453.12000000,1449.08000000,1452.72000000,1157.18550000,1661761199999,1679167.49469500,2220,597.35600000,866820.07411700,0
279405,1661761200000,1452.71000000,1453.09000000,1447.89000000,1448.29000000,1213.95960000,1661761499999,1761160.75588000,2155,525.11780000,761971.26973200,0
279406,1661761500000,1448.29000000,1448.75000000,1446.14000000,1446.14000000,1483.13800000,1661761799999,2146938.64036500,2292,719.85460000,1041961.23066600,0
279407,1661761800000,1446.15000000,1448.66000000,1445.00000000,1445.01000000,1775.90150000,1661762099999,2568182.52954200,2464,615.53940000,890377.62913400,0
279408,1661762100000,1445.00000000,1447.64000000,1443.10000000,1445.82000000,2229.74160000,1661762399999,3223150.20622800,3332,1011.74250000,1462224.38504800,0
279409,1661762400000,1445.81000000,1449.01000000,1444.11000000,1448.02000000,1220.48780000,1661762699999,1766321.17028900,2108,661.34270000,957078.04365900,0
279410,1661762700000,1448.02000000,1449.52000000,1446.02000000,1448.21000000,1287.56570000,1661762999999,1864309.68644900,2056,654.19970000,947311.32513200,0
279411,1661763000000,1448.21000000,1448.60000000,1445.67000000,1446.73000000,1072.22920000,1661763299999,1551443.71778200,1888,503.73970000,728818.34164900,0
279412,1661763300000,1446.72000000,1447.20000000,1444.32000000,1444.78000000,1529.18340000,1661763599999,2211116.23312300,2157,404.24750000,584484.79619900,0
279413,1661763600000,1444.79000000,1446.74000000,1444.33000000,1445.62000000,1782.62260000,1661763899999,2576857.93939200,2120,919.60940000,1329245.68181800,0
279414,1661763900000,1445.62000000,1449.09000000,1445.24000000,1446.26000000,1533.93550000,1661764199999,2220056.53444300,2155,813.43710000,1177500.46097500,0
279415,1661764200000,1446.26000000,1449.03000000,1445.61000000,1448.27000000,1821.90990000,1661764499999,2637687.45468800,2429,1010.00200000,1462238.95773800,0
279416,1661764500000,1448.26000000,1450.00000000,1446.40000000,1447.09000000,1321.90390000,1661764799999,1914817.82006100,2031,579.80910000,839993.93327500,0
279417,1661764800000,1447.09000000,1451.43000000,1447.09000000,1450.35000000,1552.14380000,1661765099999,2249516.54565600,2290,1043.43310000,1512049.58829000,0
279418,1661765100000,1450.34000000,1452.46000000,1449.80000000,1451.91000000,1324.77560000,1661765399999,1922775.60881500,2316,621.17550000,901568.72513600,0
279419,1661765400000,1451.91000000,1454.43000000,1449.69000000,1449.82000000,1468.93500000,1661765699999,2132803.37812400,2674,720.67500000,1046438.53786000,0
279420,1661765700000,1449.82000000,1451.97000000,1446.20000000,1446.88000000,1601.39610000,1661765999999,2320422.66620500,2646,819.57470000,1187957.77068300,0
279421,1661766000000,1446.89000000,1450.32000000,1446.35000000,1450.14000000,1377.74800000,1661766299999,1996816.51431600,2302,949.72360000,1376458.26660800,0
279422,1661766300000,1450.13000000,1450.33000000,1446.07000000,1449.27000000,1367.65120000,1661766599999,1980817.42627400,2275,654.69050000,948110.06128400,0
279423,1661766600000,1449.27000000,1451.19000000,1448.41000000,1449.84000000,1125.51400000,1661766899999,1631715.45376800,2135,536.46840000,777674.08390000,0
279424,1661766900000,1449.84000000,1453.54000000,1449.83000000,1451.52000000,1052.99620000,1661767199999,1528897.52233400,2261,524.51900000,761470.58869100,0
279425,1661767200000,1451.51000000,1455.20000000,1451.35000000,1454.57000000,2227.30410000,1661767499999,3237261.17716100,3041,1385.59470000,2013741.27028700,0
279426,1661767500000,1454.57000000,1455.32000000,1453.18000000,1454.52000000,1032.34470000,1661767799999,1501017.59996800,2062,587.42890000,854072.14574700,0
279427,1661767800000,1454.53000000,1455.64000000,1450.89000000,1451.00000000,1270.78960000,1661768099999,1846144.19090800,2089,693.22120000,1007018.34011100,0
